Order_ID,Order_Date,Customer_ID,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Customer_Segment,Payment_Method,Order_Status
ORD-00632,2025-05-29,CUST-0086,Lucknow,Clothing,Cap,6.0,471.55,0.1,2546.39,1783.04,763.35,Corporate,Unknown,Returned
ORD-00635,2025-02-27,CUST-0310,Jaipur,Office Supplies,Pen,5.0,41.2,0.0,206.0,133.13,72.87,Corporate,Card,Cancelled
ORD-00964,2025-07-13,CUST-0196,Lucknow,Clothing,T-Shirt,2.0,718.52,0.1,1293.34,916.62,376.72,Consumer,Bank Transfer,Completed
ORD-00626,2025-03-11,CUST-0044,Delhi,Electronics,Laptop,8.0,59892.87,0.15,407271.48,288715.72,118555.76,Unknown,Card,Returned
ORD-00366,2025-06-03,CUST-0041,Hyderabad,Clothing,Cap,4.0,449.64,0.15,1528.78,1251.78,277.0,Small Business,Bank Transfer,Returned
ORD-00721,2025-02-19,CUST-0064,Delhi,Electronics,Keyboard,5.0,1825.56,0.0,9127.79,5303.13,3824.66,Consumer,Card,Cancelled
ORD-00751,2025-08-25,CUST-0076,Delhi,Clothing,Cap,4.0,502.86,0.1,1810.3,1281.93,528.37,Small Business,Card,Completed
ORD-00534,2025-01-01,CUST-0327,Jaipur,Furniture,Table,6.0,6912.25,0.15,35252.47,20674.04,14578.43,Corporate,Bank Transfer,Returned
ORD-00520,2025-06-14,CUST-0010,Hyderabad,Clothing,Cap,8.0,434.8,0.05,3304.51,2161.3,1143.21,Corporate,Card,Completed
ORD-00071,2025-11-02,CUST-0142,Lucknow,Clothing,Jeans,6.0,2049.72,0.1,11068.5,7007.33,4061.16,Corporate,Cash,Cancelled
ORD-00946,2025-04-07,CUST-0217,Chennai,Electronics,T-Shirt,2.0,48386.44,0.2,77418.3,52837.46,24580.84,Corporate,Card,Pending
ORD-00437,2025-03-23,CUST-0213,Pune,Office Supplies,File Folder,2.0,2058.515,0.2,150.22,102.88,47.34,Consumer,Unknown,Completed
ORD-00959,2025-11-10,CUST-0042,Pune,Office Supplies,Stapler,8.0,200.85,0.15,1365.81,1018.49,347.32,Small Business,UPI,Pending
ORD-00441,2025-09-21,CUST-0043,Delhi,Clothing,Shoes,4.0,2298.31,0.1,8273.9,6385.17,1888.73,Corporate,Cash,Completed
ORD-00250,2025-11-19,CUST-0119,Delhi,Electronics,Laptop,7.0,62827.51,0.05,417802.97,365765.42,52037.55,Consumer,Cash,Returned
ORD-00616,2025-03-23,CUST-0247,Chennai,Clothing,Shoes,4.0,2795.57,0.2,8945.84,5599.07,3346.77,Consumer,Bank Transfer,Completed
ORD-00645,2025-11-06, CUST-0067 ,Mumbai,Furniture,Cabinet,2.0,5159.77,0.0,10319.53,5943.34,4376.19,Unknown,Bank Transfer,Returned
ORD-00553,2025-11-01,CUST-0295,Pune,Furniture,Desk,7.0,10336.25,0.15,61500.69,37354.63,24146.07,Small Business,Cash,Completed
ORD-00550,2025-10-23,CUST-0196,Mumbai,Office Supplies,Table,5.0,8129.07,0.0,40645.33,27051.14,13594.18,Small Business,Cash,Completed
ORD-00102,2025-01-19,CUST-0317,Chennai,Electronics,Keyboard,8.0,1437.58,0.2,9200.52,7788.45,1412.07,Corporate,Cash,Completed
ORD-00266,2025-02-13,CUST-0287,Delhi,Office Supplies,Stapler,7.0,196.9,0.15,1171.54,1030.84,140.69,Corporate,Card,Cancelled
ORD-00732,2025-09-19,CUST-0143,Mumbai,Clothing,Laptop,7.0,2645.93,0.15,15743.31,12076.52,3666.79,Small Business,Card,Pending
ORD-00214,2025-12-23,CUST-0140,Pune,Clothing,Jeans,5.0,1768.43,0.2,7073.71,5962.73,1110.98,Small Business,Card,Completed
