year,month,total_orders,total_sales,total_profit,total_quantity,profit_margin_percentage,average_order_value
2025,1,84,1448413.5999999999,413422.34,414.0,28.54,17243.02
2025,2,74,1812400.56,556513.42,337.0,30.71,24491.9
2025,3,83,1820337.19,497705.68,383.0,27.34,21931.77
2025,4,86,2190630.23,642883.05,358.0,29.35,25472.44
2025,5,95,2771120.1,714726.665,420.0,25.79,29169.69
2025,6,71,2093239.39,534906.465,359.0,25.55,29482.24
2025,7,92,1655059.79,461237.29,377.0,27.87,17989.78
2025,8,88,2005897.88,427352.63,387.0,21.3,22794.29
2025,9,77,1621544.36,391510.26,339.0,24.14,21059.02
2025,10,76,1858158.19,507279.76999999996,351.0,27.3,24449.45
2025,11,78,2051075.13,599591.84,352.0,29.23,26295.84
2025,12,78,1662977.21,481171.605,386.0,28.93,21320.22
