Product,total_orders,total_quantity,total_sales,total_profit,sales_percentage,profit_margin_percentage
Laptop,54,263.0,10329482.74,2704244.105,44.93,26.18
Desk,57,266.0,2153656.33,626229.77,9.37,29.08
Monitor,40,192.0,1980307.31,524917.52,8.61,26.51
Table,45,207.0,1444828.05,393364.405,6.28,27.23
Cabinet,48,220.0,1175046.68,328626.62,5.11,27.97
Bookshelf,43,184.0,1090126.23,327821.83,4.74,30.07
Chair,45,227.0,994994.56,298336.51,4.33,29.98
Jacket,55,259.0,680530.58,199065.14,2.96,29.25
Shoes,53,250.0,551000.12,144090.375,2.4,26.15
Headphones,42,214.0,474698.54,118797.15,2.06,25.03
Printer Paper,49,226.0,458351.82,129921.54000000001,1.99,28.35
Unknown,12,50.0,391255.85,67843.8,1.7,17.34
Keyboard,47,226.0,322493.02,83507.5,1.4,25.89
Jeans,44,198.0,317000.04,89409.04,1.38,28.2
T-Shirt,62,252.0,248403.68,73083.41,1.08,29.42
Mouse,48,212.0,215253.19999999998,63837.45,0.94,29.66
Cap,49,207.0,88609.39,27055.045,0.39,30.53
Stapler,50,207.0,31972.84,11928.48,0.14,37.31
Notebook,40,178.0,18557.44,7913.72,0.08,42.64
File Folder,47,205.0,16292.07,4650.65,0.07,28.55
Pen,52,220.0,7993.14,3656.955,0.03,45.75
